binario,tamanho,bandas,seed,num_runs,tempo_media_s,tempo_stdev_s,iteracoes_media,erro_media
cgSolver,1024,7,42,30,2.123682e-04,2.817268e-05,24.0,3.700561e-11
cgSolver,1024,7,123,30,2.187627e-04,3.496223e-05,24.0,1.908003e-11
cgSolver,1024,27,42,30,4.251778e-04,6.409794e-05,22.0,8.079895e-12
cgSolver,1024,27,123,30,4.720847e-04,1.039206e-04,24.0,7.998967e-12
cgSolver,4096,7,42,30,1.008141e-03,2.118022e-04,26.0,1.765470e-11
cgSolver,4096,7,123,30,9.926150e-04,2.325609e-04,25.0,1.478190e-11
cgSolver,4096,27,42,30,1.614143e-03,2.231602e-04,23.0,3.792381e-12
cgSolver,4096,27,123,30,1.534882e-03,9.928442e-05,24.0,4.457672e-12
cgSolver,16384,7,42,30,3.643403e-03,2.833571e-04,28.0,7.952719e-12
cgSolver,16384,7,123,30,3.536499e-03,1.749370e-04,27.0,6.502380e-12
cgSolver,16384,27,42,30,5.907074e-03,1.096758e-04,23.0,2.776754e-12
cgSolver,16384,27,123,30,6.510298e-03,8.423158e-04,25.0,2.071023e-12
cgSolver,65536,7,42,30,2.422941e-02,2.303608e-04,29.0,4.141061e-12
cgSolver,65536,7,123,30,2.418189e-02,2.197924e-04,29.0,3.496212e-12
cgSolver,65536,27,42,30,3.440152e-02,4.183739e-04,25.0,6.765912e-13
cgSolver,65536,27,123,30,3.613101e-02,2.408377e-03,26.0,6.838223e-13
cgSolver,262144,7,42,30,1.136117e-01,1.918680e-03,31.0,1.192486e-12
cgSolver,262144,7,123,30,1.138104e-01,3.017384e-03,31.0,1.371874e-12
cgSolver,262144,27,42,30,1.731472e-01,5.011618e-03,26.0,3.832170e-13
cgSolver,262144,27,123,30,1.838575e-01,2.592283e-03,28.0,2.743989e-13
cgSolver,1048576,7,42,30,5.443353e-01,7.292074e-03,32.0,1.036778e-12
cgSolver,1048576,7,123,30,5.731306e-01,2.450477e-02,32.0,9.109211e-13
cgSolver,1048576,27,42,30,7.615924e-01,2.039695e-02,26.0,1.675458e-13
cgSolver,1048576,27,123,30,7.966438e-01,9.938354e-03,28.0,1.540136e-13
